AC11.01,"Présenter une organisation, ses activités et son environnement (économique, sociologique, culturel, juridique, technologique, communicationnel et médiatique)",1,Comprendre
AC11.02,"Évaluer un site web, un produit multimédia ou un dispositif interactif existant en s’appuyant sur des guides de bonnes pratiques",1,Comprendre
AC11.03,Produire des analyses statistiques descriptives et les interpréter pour évaluer un contexte socio-économique,1,Comprendre
AC11.04,Analyser des formes médiatiques et leur sémiotique,1,Comprendre
AC11.05,"Identifier les cibles (critères socio-économiques, démographiques, géographiques, culturels...)",1,Comprendre
AC11.06,Réaliser des entretiens utilisateurs pour construire des personae et des récits utilisateurs (user stories),1,Comprendre
AC12.01,Concevoir un produit ou un service en terme d’usage et de fonctionnalité,1,Concevoir
AC12.02,Construire la proposition de valeur d’un produit ou d’un service,1,Concevoir
AC12.03,"Proposer une recommandation marketing (cibles, objectifs, points de contact)",1,Concevoir
AC12.04,Proposer une stratégie de communication,1,Concevoir
AC13.01,Écrire pour les médias numériques,1,Exprimer
AC13.02,Produire des pistes graphiques et des planches d’inspiration,1,Exprimer
AC13.03,"Créer, composer et retoucher des visuels",1,Exprimer
AC13.04,"Tourner et monter une vidéo (scénario, captation image et son...)",1,Exprimer
AC13.05,"Designer une interface web (wireframes, UI)",1,Exprimer
AC13.06,Optimiser les médias en fonction de leurs usages et supports de diffusion,1,Exprimer
AC14.01,Exploiter de manière autonome un environnement de développement efficace et productif,1,Développer
AC14.02,Produire des pages Web fluides incluant un balisage sémantique efficace et des interactions simples,1,Développer
AC14.03,Générer des pages Web à partir de données structurées,1,Développer
AC14.04,Mettre en ligne une application Web en utilisant une solution d’hébergement standard,1,Développer
AC14.05,Modéliser les données d’une application Web,1,Développer
AC14.06,Déployer et personnaliser une application Web en utilisant un CMS ou un framework MVC,1,Développer
AC15.01,Gérer un projet avec une méthode classique,1,Entreprendre
AC15.02,Budgéter un projet et suivre sa rentabilité,1,Entreprendre
AC15.03,"Découvrir les écosystèmes d’innovation numérique (fab labs, living labs, tiers-lieux, incubateurs...)",1,Entreprendre
AC15.04,Analyser un produit ou un service innovant en identifiant les propositions de valeurs et en évaluant les solutions proposées,1,Entreprendre
AC15.05,Construire une présence en ligne professionnelle (personal branding),1,Entreprendre
AC15.06,Interagir au sein des organisations,1,Entreprendre
AC15.07,Produire un message écrit ou oral professionnel,1,Entreprendre
AC21.01,"Analyser la stratégie de communication ou marketing d’un acteur, d’une organisation au regard d’un secteur ou d’un marché (stratégie, mission, valeurs...)",2,Comprendre
AC21.02,"Auditer un site web, une marque ou un service, en termes de trafic et de référencement",2,Comprendre
AC21.03,Traiter des données avec des outils statistiques pour faciliter leur analyse et leur exploitation,2,Comprendre
AC21.04,Identifier et décrire les parcours client à partir d’enquêtes de terrain,2,Comprendre
AC21.05,"Cartographier les expériences utilisateur : points de contact, points de friction et de satisfaction, carte d’empathie",2,Comprendre
AC22.01,"Co-concevoir un produit ou un service (proposition de valeur, fonctionnalités...)",2,Concevoir
AC22.02,"Produire une recommandation ergonomique à partir des tests utilisateurs (sur système fonctionnel, prototype ou maquette interactive)",2,Concevoir
AC22.03,Co-construire une recommandation stratégique (en structurant un plan d’action),2,Concevoir
AC22.04,"Optimiser le référencement d’un site web, d’un produit ou d’un service",2,Concevoir
AC22.05,Mettre en place une présence sur les réseaux sociaux,2,Concevoir
AC23.01,Produire un écrit journalistique sourcé et documenté,2,Exprimer
AC23.02,"Définir une iconographie (illustrations, photographies, vidéos)",2,Exprimer
AC23.03,Créer et décliner une identité visuelle (charte graphique),2,Exprimer
AC23.04,"Imaginer, écrire et scénariser en vue d’une communication multimédia ou transmédia",2,Exprimer
AC23.05,"Réaliser, composer et produire pour une communication plurimédia",2,Exprimer
AC23.06,"Élaborer et produire des animations, des designs sonores, des effets spéciaux, de la visualisation de données ou de la 3D",2,Exprimer
AC24.01,Produire des pages et applications Web responsives,2,Développer
AC24.02,Mettre en place ou développer un back office,2,Développer
AC24.03,"Intégrer, produire ou développer des interactions riches ou des dispositifs interactifs",2,Développer
AC24.04,Modéliser les traitements d’une application Web,2,Développer
AC24.05,Optimiser une application web en termes de référencement et de temps de chargement,2,Développer
AC24.06,Configurer une solution d’hébergement adaptée aux besoins,2,Développer
AC25.01,Gérer un projet avec une méthode d’amélioration continue par exemple une méthode agile,2,Entreprendre
AC25.02,"Cartographier un écosystème (identification des acteurs, synthèse des propositions de valeur)",2,Entreprendre
AC25.03,Initier la constitution d’un réseau professionnel,2,Entreprendre
AC25.04,Collaborer au sein des organisations,2,Entreprendre
AC25.05,Maitriser les codes des productions écrites et orales professionnelles,2,Entreprendre
AC25.06,Prendre en compte les contraintes juridiques,2,Entreprendre
AC34.01,Développer à l’aide d’un framework de développement côté client,3,Développer
AC34.02,Développer à l’aide d’un framework de développement côté serveur,3,Développer
AC34.03,Développer des dispositifs interactifs sophistiqués,3,Développer
AC34.04,"Concevoir et développer des composants logiciels, plugins ou extensions",3,Développer
AC34.05,Maitriser l'hébergement et le déploiement d'applications,3,Développer
AC35.01,"Piloter un produit, un service ou une équipe",3,Entreprendre
AC35.02,Maîtriser la qualité en projet Web ou multimédia,3,Entreprendre
AC35.03,"Concevoir un projet d’entreprise innovante en définissant le nom, l’identité, la forme juridique et le ton de la marque",3,Entreprendre
AC35.04,Défendre un projet de manière convaincante,3,Entreprendre
